ArrestNumber,ArChgNumID,Severity,NIBRS_Group,NIBRS_Crime_Category
18-023049,18-023049-01,M,B,DRIVING UNDER THE INFLUENCE
18-025946,18-025946-01,M,B,PUBLIC INTOXICATION
18-000358,18-000358-01,M,B,PUBLIC INTOXICATION
18-009901,18-009901-01,M,B,TRESPASS OF REAL PROPERTY
20-010508,20-010508-01,F,A,ASSAULT OFFENSES
18-021543,18-021543-01,M,A,WEAPON LAW VIOLATIONS
19-018602,19-018602-01,M,B,TRESPASS OF REAL PROPERTY
18-024158,18-024158-01,M,B,PUBLIC INTOXICATION
18-008502,18-008502-01,M,B,PUBLIC INTOXICATION
16-044341,16-044341-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-002823,18-002823-01,M,B,PUBLIC INTOXICATION
18-001519,18-001519-01,M,B,PUBLIC INTOXICATION
18-039687,18-039687-01,M,A,EMBEZZELMENT
18-035064,18-035064-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-018822,18-018822-01,M,B,PUBLIC INTOXICATION
18-045148,18-045148-01,M,B,PUBLIC INTOXICATION
18-031412,18-031412-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-025790,18-025790-01,M,B,PUBLIC INTOXICATION
18-016150,18-016150-01,F,A,ASSAULT OFFENSES
18-045209,18-045209-01,M,A,LARCENY/ THEFT OFFENSES
18-024919,18-024919-01,M,B,PUBLIC INTOXICATION
20-027785,20-027785-01,N,C,APOWW (SOCIAL SERVICES REFERRAL)
18-018897,18-018897-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-035184,18-035184-01,M,B,TRESPASS OF REAL PROPERTY
18-012611,18-012611-01,M,B,PUBLIC INTOXICATION
18-032985,18-032985-01,M,B,PUBLIC INTOXICATION
18-038890,18-038890-01,M,B,TRESPASS OF REAL PROPERTY
18-044674,18-044674-01,F,B,DRIVING UNDER THE INFLUENCE
17-014433,17-014433-01,M,B,PUBLIC INTOXICATION
16-015862,16-015862-01,M,B,PUBLIC INTOXICATION
18-021587,18-021587-01,M,B,PUBLIC INTOXICATION
18-045806,18-045806-01,M,B,PUBLIC INTOXICATION
18-024842,18-024842-01,M,B,PUBLIC INTOXICATION
17-040614,17-040614-01,M,B,TRESPASS OF REAL PROPERTY
18-026393,18-026393-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-007128,18-007128-01,M,B,DRIVING UNDER THE INFLUENCE
18-022898,18-022898-01,M,B,PUBLIC INTOXICATION
18-019018,18-019018-01,F,A,MOTOR VEHICLE THEFT
18-029852,18-029852-04,M,C,TRAFFIC VIOLATION - NON HAZARDOUS
18-045044,18-045044-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-030899,18-030899-01,F,A,ASSAULT OFFENSES
18-031700,18-031700-03,M,B,ALL OTHER OFFENSES
18-008819,18-008819-01,M,A,LARCENY/ THEFT OFFENSES
18-023264,18-023264-02,M,A,DRUG/ NARCOTIC VIOLATIONS
18-003971,18-003971-01,M,B,PUBLIC INTOXICATION
18-019747,18-019747-01,M,A,ASSAULT OFFENSES
18-035441,18-035441-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-017241,18-017241-01,M,B,PUBLIC INTOXICATION
18-041362,18-041362-01,M,B,PUBLIC INTOXICATION
18-022660,18-022660-01,M,B,PUBLIC INTOXICATION
18-029731,18-029731-01,M,B,TRESPASS OF REAL PROPERTY
17-034056,17-034056-01,M,B,PUBLIC INTOXICATION
18-012020,18-012020-01,M,B,DRIVING UNDER THE INFLUENCE
18-004290,18-004290-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-029365,18-029365-02,M,B,ALL OTHER OFFENSES
18-032777,18-032777-02,M,A,DRUG/ NARCOTIC VIOLATIONS
18-028970,18-028970-01,M,B,PUBLIC INTOXICATION
18-002222,18-002222-01,M,B,PUBLIC INTOXICATION
18-005492,18-005492-01,F,B,ALL OTHER OFFENSES
18-034597,18-034597-01,M,B,DRIVING UNDER THE INFLUENCE
16-022105,16-022105-01,M,B,PUBLIC INTOXICATION
18-033423,18-033423-01,F,A,ASSAULT OFFENSES
18-027425,18-027425-01,F,A,DRUG/ NARCOTIC VIOLATIONS
19-021179,19-021179-01,M,B,PUBLIC INTOXICATION
18-026692,18-026692-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-007820,18-007820-01,M,B,PUBLIC INTOXICATION
18-011391,18-011391-01,M,B,DRIVING UNDER THE INFLUENCE
18-028532,18-028532-01,M,B,PUBLIC INTOXICATION
18-003507,18-003507-01,M,B,PUBLIC INTOXICATION
18-033222,18-033222-01,F,A,ARSON
18-038685,18-038685-01,M,B,DRIVING UNDER THE INFLUENCE
18-007223,18-007223-01,M,B,PUBLIC INTOXICATION
16-050596,16-050596-01,M,B,PUBLIC INTOXICATION
18-026248,18-026248-01,F,A,WEAPON LAW VIOLATIONS
17-005342,17-005342-01,M,B,PUBLIC INTOXICATION
18-026325,18-026325-01,M,B,PUBLIC INTOXICATION
18-024287,18-024287-01,M,B,PUBLIC INTOXICATION
18-035810,18-035810-01,M,B,PUBLIC INTOXICATION
18-007953,18-007953-01,M,B,PUBLIC INTOXICATION
18-031950,18-031950-01,M,B,PUBLIC INTOXICATION
18-008954,18-008954-01,M,B,PUBLIC INTOXICATION
18-008064,18-008064-01,M,B,PUBLIC INTOXICATION
18-032685,18-032685-03,M,C,TRAFFIC VIOLATION - HAZARDOUS
18-040757,18-040757-01,M,A,WEAPON LAW VIOLATIONS
18-012427,18-012427-01,M,B,PUBLIC INTOXICATION
18-006892,18-006892-01,M,B,PUBLIC INTOXICATION
18-028627,18-028627-01,M,B,PUBLIC INTOXICATION
18-017287,18-017287-01,M,B,PUBLIC INTOXICATION
18-030704,18-030704-01,M,B,DRIVING UNDER THE INFLUENCE
18-035009,18-035009-01,M,A,DRUG/ NARCOTIC VIOLATIONS
17-002864,17-002864-01,M,B,PUBLIC INTOXICATION
18-026082,18-026082-01,M,A,LARCENY/ THEFT OFFENSES
18-044989,18-044989-01,M,B,TRESPASS OF REAL PROPERTY
18-018430,18-018430-01,M,B,PUBLIC INTOXICATION
18-000768,18-000768-01,M,B,TRESPASS OF REAL PROPERTY
18-017119,18-017119-01,M,B,PUBLIC INTOXICATION
18-036885,18-036885-01,M,B,TRESPASS OF REAL PROPERTY
18-018886,18-018886-01,M,B,PUBLIC INTOXICATION
18-020495,18-020495-01,M,B,PUBLIC INTOXICATION
18-038476,18-038476-01,M,A,LARCENY/ THEFT OFFENSES
18-021299,18-021299-01,M,B,DRIVING UNDER THE INFLUENCE
18-008454,18-008454-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-029941,18-029941-01,F,A,ROBBERY
19-003175,19-003175-01,M,B,PUBLIC INTOXICATION
18-002458,18-002458-01,M,B,DRIVING UNDER THE INFLUENCE
18-018815,18-018815-01,M,B,PUBLIC INTOXICATION
18-009696,18-009696-01,M,B,PUBLIC INTOXICATION
18-013938,18-013938-01,M,B,PUBLIC INTOXICATION
18-013380,18-013380-01,M,B,PUBLIC INTOXICATION
18-025987,18-025987-01,M,A,LARCENY/ THEFT OFFENSES
18-010608,18-010608-01,M,B,PUBLIC INTOXICATION
17-035425,17-035425-01,M,B,PUBLIC INTOXICATION
18-031901,18-031901-01,M,A,WEAPON LAW VIOLATIONS
18-032805,18-032805-03,M,C,TRAFFIC VIOLATION - NON HAZARDOUS
16-021892,16-021892-01,M,B,PUBLIC INTOXICATION
17-042223,17-042223-01,M,B,TRESPASS OF REAL PROPERTY
18-017162,18-017162-01,M,B,TRESPASS OF REAL PROPERTY
18-006820,18-006820-01,M,B,DRIVING UNDER THE INFLUENCE
18-022796,18-022796-01,M,B,PUBLIC INTOXICATION
18-036301,18-036301-01,M,B,PUBLIC INTOXICATION
19-001151,19-001151-01,M,B,TRESPASS OF REAL PROPERTY
18-023514,18-023514-02,M,B,ALL OTHER OFFENSES
18-032274,18-032274-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-007714,18-007714-01,M,A,LARCENY/ THEFT OFFENSES
18-011270,18-011270-01,M,B,PUBLIC INTOXICATION
19-024892,19-024892-01,M,B,PUBLIC INTOXICATION
18-025051,18-025051-01,F,A,ASSAULT OFFENSES
18-028678,18-028678-02,M,B,ALL OTHER OFFENSES
18-005090,18-005090-01,M,B,PUBLIC INTOXICATION
18-023173,18-023173-01,M,B,PUBLIC INTOXICATION
18-018648,18-018648-01,M,B,DRIVING UNDER THE INFLUENCE
18-025435,18-025435-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-001391,18-001391-01,M,B,PUBLIC INTOXICATION
16-027838,16-027838-01,M,B,PUBLIC INTOXICATION
18-032254,18-032254-01,M,B,PUBLIC INTOXICATION
18-028210,18-028210-03,M,C,TRAFFIC VIOLATION - HAZARDOUS
18-028768,18-028768-01,M,B,PUBLIC INTOXICATION
18-033110,18-033110-02,M,B,ALL OTHER OFFENSES
18-028696,18-028696-01,M,B,DRIVING UNDER THE INFLUENCE
17-039263,17-039263-01,M,B,PUBLIC INTOXICATION
16-009009,16-009009-01,M,B,ALL OTHER OFFENSES
18-025572,18-025572-01,M,A,LARCENY/ THEFT OFFENSES
18-034247,18-034247-02,M,A,DRUG/ NARCOTIC VIOLATIONS
20-037842,20-037842-01,M,B,PUBLIC INTOXICATION
17-040172,17-040172-01,M,B,PUBLIC INTOXICATION
16-037965,16-037965-01,M,B,PUBLIC INTOXICATION
20-029314,20-029314-01,F,A,MOTOR VEHICLE THEFT
18-034773,18-034773-01,M,B,TRESPASS OF REAL PROPERTY
18-025457,18-025457-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-026597,18-026597-01,M,B,DRIVING UNDER THE INFLUENCE
18-015028,18-015028-01,M,B,PUBLIC INTOXICATION
18-014553,18-014553-01,M,B,TRESPASS OF REAL PROPERTY
18-037014,18-037014-03,M,B,DISORDERLY CONDUCT
18-044030,18-044030-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-032978,18-032978-01,M,B,PUBLIC INTOXICATION
18-004258,18-004258-01,M,B,PUBLIC INTOXICATION
18-002152,18-002152-01,F,A,LARCENY/ THEFT OFFENSES
18-010325,18-010325-01,M,B,PUBLIC INTOXICATION
18-022784,18-022784-02,M,B,ALL OTHER OFFENSES
18-038256,18-038256-01,M,B,DRIVING UNDER THE INFLUENCE
18-000083,18-000083-01,M,B,PUBLIC INTOXICATION
18-000366,18-000366-01,M,B,PUBLIC INTOXICATION
18-039920,18-039920-01,M,B,DRIVING UNDER THE INFLUENCE
18-027626,18-027626-01,M,A,DRUG/ NARCOTIC VIOLATIONS
20-013156,20-013156-01,N,C,APOWW (SOCIAL SERVICES REFERRAL)
19-022820,19-022820-01,M,B,PUBLIC INTOXICATION
18-034917,18-034917-01,F,A,COUNTERFEITING / FORGERY
18-023893,18-023893-01,M,B,PUBLIC INTOXICATION
17-050021,17-050021-01,M,B,TRESPASS OF REAL PROPERTY
18-036161,18-036161-01,M,C,TRAFFIC VIOLATION - NON HAZARDOUS
19-000557,19-000557-01,M,B,PUBLIC INTOXICATION
18-043616,18-043616-01,M,B,PUBLIC INTOXICATION
17-037284,17-037284-02,M,B,TRESPASS OF REAL PROPERTY
19-004672,19-004672-01,M,B,TRESPASS OF REAL PROPERTY
18-038091,18-038091-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-042574,18-042574-01,M,B,PUBLIC INTOXICATION
17-026647,17-026647-01,M,B,TRESPASS OF REAL PROPERTY
18-024324,18-024324-01,M,B,PUBLIC INTOXICATION
17-049027,17-049027-01,M,B,TRESPASS OF REAL PROPERTY
18-037447,18-037447-01,M,B,PUBLIC INTOXICATION
18-039207,18-039207-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-023548,18-023548-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-014342,18-014342-01,M,B,PUBLIC INTOXICATION
18-032401,18-032401-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-036948,18-036948-02,M,B,PUBLIC INTOXICATION
18-003988,18-003988-01,M,B,PUBLIC INTOXICATION
18-022677,18-022677-01,M,B,PUBLIC INTOXICATION
18-034331,18-034331-01,M,B,DRIVING UNDER THE INFLUENCE
18-020073,18-020073-01,M,B,PUBLIC INTOXICATION
19-019409,19-019409-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-015786,18-015786-01,F,A,ASSAULT OFFENSES
18-026396,18-026396-01,M,B,PUBLIC INTOXICATION
18-007469,18-007469-01,M,A,ASSAULT OFFENSES
18-034000,18-034000-01,M,B,PUBLIC INTOXICATION
19-022329,19-022329-01,M,B,PUBLIC INTOXICATION
18-024681,18-024681-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-007410,18-007410-01,M,B,PUBLIC INTOXICATION
18-018502,18-018502-01,M,B,PUBLIC INTOXICATION
18-028988,18-028988-01,M,B,PUBLIC INTOXICATION
19-011683,19-011683-01,M,B,PUBLIC INTOXICATION
18-022657,18-022657-01,M,B,DRIVING UNDER THE INFLUENCE
18-014566,18-014566-01,F,A,DRUG/ NARCOTIC VIOLATIONS
19-039336,19-039336-01,F,A,MOTOR VEHICLE THEFT
18-005164,18-005164-01,M,A,DRUG/ NARCOTIC VIOLATIONS
17-032082,17-032082-01,M,B,PUBLIC INTOXICATION
19-005695,19-005695-01,F,A,ROBBERY
18-035434,18-035434-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-016994,18-016994-02,M,B,PUBLIC INTOXICATION
18-009805,18-009805-01,M,B,PUBLIC INTOXICATION
18-008582,18-008582-01,M,B,PUBLIC INTOXICATION
19-003376,19-003376-01,F,A,WEAPON LAW VIOLATIONS
18-015866,18-015866-01,M,B,DRIVING UNDER THE INFLUENCE
16-038044,16-038044-01,M,A,DRUG/ NARCOTIC VIOLATIONS
19-010047,19-010047-01,M,B,PUBLIC INTOXICATION
18-027970,18-027970-01,M,B,PUBLIC INTOXICATION
18-021377,18-021377-01,F,A,LARCENY/ THEFT OFFENSES
18-032104,18-032104-01,M,B,PUBLIC INTOXICATION
18-011321,18-011321-01,M,B,PUBLIC INTOXICATION
18-006605,18-006605-01,M,B,PUBLIC INTOXICATION
19-040036,19-040036-01,M,B,DRIVING UNDER THE INFLUENCE
18-016281,18-016281-01,M,B,PUBLIC INTOXICATION
18-037279,18-037279-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-003145,18-003145-01,M,B,PUBLIC INTOXICATION
19-041852,19-041852-01,M,B,TRESPASS OF REAL PROPERTY
18-010062,18-010062-01,M,B,TRESPASS OF REAL PROPERTY
18-011626,18-011626-01,M,B,DRIVING UNDER THE INFLUENCE
18-036012,18-036012-01,M,B,PUBLIC INTOXICATION
19-000764,19-000764-01,M,B,PUBLIC INTOXICATION
18-009231,18-009231-01,M,A,LARCENY/ THEFT OFFENSES
18-038436,18-038436-01,M,B,PUBLIC INTOXICATION
18-045199,18-045199-01,M,A,LARCENY/ THEFT OFFENSES
18-022201,18-022201-01,M,B,PUBLIC INTOXICATION
18-023775,18-023775-01,M,B,PUBLIC INTOXICATION
18-021516,18-021516-01,M,B,DRIVING UNDER THE INFLUENCE
19-001722,19-001722-01,M,B,ALL OTHER OFFENSES
20-015071,20-015071-01,M,A,WEAPON LAW VIOLATIONS
18-006943,18-006943-01,M,B,PUBLIC INTOXICATION
18-027170,18-027170-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-031144,18-031144-01,M,B,DRIVING UNDER THE INFLUENCE
18-022953,18-022953-01,M,B,DRIVING UNDER THE INFLUENCE
17-050773,17-050773-01,M,B,PUBLIC INTOXICATION
18-015132,18-015132-01,F,A,ASSAULT OFFENSES
18-015044,18-015044-01,M,B,DRIVING UNDER THE INFLUENCE
18-010159,18-010159-01,M,B,DRIVING UNDER THE INFLUENCE
18-014678,18-014678-01,M,B,PUBLIC INTOXICATION
18-013699,18-013699-01,M,B,PUBLIC INTOXICATION
19-031141,19-031141-01,M,B,PUBLIC INTOXICATION
18-019910,18-019910-03,M,B,ALL OTHER OFFENSES
18-017064,18-017064-01,M,B,PUBLIC INTOXICATION
17-029445,17-029445-01,M,B,PUBLIC INTOXICATION
18-040770,18-040770-01,M,B,PUBLIC INTOXICATION
18-017017,18-017017-01,M,B,PUBLIC INTOXICATION
18-028449,18-028449-01,M,B,PUBLIC INTOXICATION
18-038480,18-038480-01,M,B,PUBLIC INTOXICATION
18-037686,18-037686-01,M,B,TRESPASS OF REAL PROPERTY
18-026805,18-026805-01,M,B,PUBLIC INTOXICATION
18-042492,18-042492-01,M,B,PUBLIC INTOXICATION
18-041748,18-041748-01,M,B,TRESPASS OF REAL PROPERTY
18-041580,18-041580-01,M,B,PUBLIC INTOXICATION
18-024744,18-024744-01,M,A,LARCENY/ THEFT OFFENSES
18-011516,18-011516-01,M,B,PUBLIC INTOXICATION
18-022369,18-022369-01,F,A,DRUG/ NARCOTIC VIOLATIONS
16-020022,16-020022-01,M,B,PUBLIC INTOXICATION
18-013433,18-013433-01,M,A,LARCENY/ THEFT OFFENSES
18-025608,18-025608-01,M,B,PUBLIC INTOXICATION
18-010637,18-010637-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-019981,18-019981-01,M,B,TRESPASS OF REAL PROPERTY
18-044162,18-044162-01,F,A,COUNTERFEITING / FORGERY
18-017607,18-017607-01,M,B,PUBLIC INTOXICATION
20-016524,20-016524-01,M,B,PUBLIC INTOXICATION
18-032694,18-032694-01,F,B,DRIVING UNDER THE INFLUENCE
19-005363,19-005363-02,F,A,FRAUD OFFENSES
18-009137,18-009137-01,F,A,WEAPON LAW VIOLATIONS
16-028783,16-028783-01,M,B,PUBLIC INTOXICATION
18-006210,18-006210-01,M,B,PUBLIC INTOXICATION
18-035105,18-035105-01,M,B,PUBLIC INTOXICATION
18-035241,18-035241-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-045729,18-045729-01,M,B,DRIVING UNDER THE INFLUENCE
18-030103,18-030103-02,M,C,TRAFFIC VIOLATION - HAZARDOUS
19-000762,19-000762-01,M,B,PUBLIC INTOXICATION
18-036124,18-036124-01,M,B,TRESPASS OF REAL PROPERTY
17-051632,17-051632-01,M,B,PUBLIC INTOXICATION
18-018914,18-018914-01,M,B,PUBLIC INTOXICATION
18-011497,18-011497-01,M,B,PUBLIC INTOXICATION
18-043111,18-043111-02,M,B,ALL OTHER OFFENSES
18-023612,18-023612-02,M,A,DRUG/ NARCOTIC VIOLATIONS
18-023089,18-023089-01,M,B,PUBLIC INTOXICATION
18-043202,18-043202-01,M,B,PUBLIC INTOXICATION
18-013987,18-013987-01,M,B,PUBLIC INTOXICATION
18-020615,18-020615-01,M,B,PUBLIC INTOXICATION
18-008765,18-008765-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-007933,18-007933-01,M,B,PUBLIC INTOXICATION
18-003154,18-003154-01,M,B,PUBLIC INTOXICATION
17-013060,17-013060-01,M,B,PUBLIC INTOXICATION
18-007434,18-007434-01,F,B,ALL OTHER OFFENSES
18-014971,18-014971-01,M,B,PUBLIC INTOXICATION
18-014274,18-014274-01,M,B,PUBLIC INTOXICATION
18-008328,18-008328-01,M,B,PUBLIC INTOXICATION
18-003443,18-003443-02,F,A,DRUG/ NARCOTIC VIOLATIONS
17-030770,17-030770-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-002366,18-002366-01,M,B,PUBLIC INTOXICATION
18-034220,18-034220-01,M,B,PUBLIC INTOXICATION
18-012532,18-012532-01,F,A,LARCENY/ THEFT OFFENSES
18-028413,18-028413-01,M,B,PUBLIC INTOXICATION
18-021636,18-021636-01,M,B,PUBLIC INTOXICATION
18-037531,18-037531-01,M,B,PUBLIC INTOXICATION
19-030744,19-030744-01,M,B,PUBLIC INTOXICATION
18-029589,18-029589-01,M,B,DRIVING UNDER THE INFLUENCE
18-012039,18-012039-01,M,A,LARCENY/ THEFT OFFENSES
18-040633,18-040633-01,M,B,DRIVING UNDER THE INFLUENCE
18-005996,18-005996-01,M,B,PUBLIC INTOXICATION
18-024537,18-024537-01,M,B,PUBLIC INTOXICATION
18-035707,18-035707-01,M,B,PUBLIC INTOXICATION
16-008867,16-008867-01,M,B,ALL OTHER OFFENSES
18-023739,18-023739-01,M,B,PUBLIC INTOXICATION
16-011815,16-011815-01,M,B,DRIVING UNDER THE INFLUENCE
18-001104,18-001104-01,M,B,TRESPASS OF REAL PROPERTY
18-026136,18-026136-01,F,A,FRAUD OFFENSES
18-026706,18-026706-01,M,B,DRIVING UNDER THE INFLUENCE
18-039180,18-039180-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-013785,18-013785-01,M,B,PUBLIC INTOXICATION
18-010734,18-010734-01,M,B,PUBLIC INTOXICATION
18-034456,18-034456-01,M,B,PUBLIC INTOXICATION
18-000737,18-000737-01,M,B,PUBLIC INTOXICATION
18-024069,18-024069-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-029819,18-029819-01,F,A,DRUG/ NARCOTIC VIOLATIONS
17-049351,17-049351-02,M,B,ALL OTHER OFFENSES
18-019804,18-019804-01,M,B,PUBLIC INTOXICATION
18-036351,18-036351-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-015989,18-015989-01,M,B,PUBLIC INTOXICATION
18-037569,18-037569-01,M,B,PUBLIC INTOXICATION
18-020340,18-020340-01,M,B,PUBLIC INTOXICATION
18-011350,18-011350-01,M,B,DRIVING UNDER THE INFLUENCE
18-000008,18-000008-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-026116,18-026116-01,M,B,PUBLIC INTOXICATION
18-010476,18-010476-01,M,B,DRIVING UNDER THE INFLUENCE
18-030522,18-030522-01,M,B,PUBLIC INTOXICATION
18-029776,18-029776-01,M,B,DRIVING UNDER THE INFLUENCE
17-028677,17-028677-01,M,B,PUBLIC INTOXICATION
18-009463,18-009463-01,M,B,PUBLIC INTOXICATION
18-031615,18-031615-01,M,B,PUBLIC INTOXICATION
18-039135,18-039135-01,M,B,PUBLIC INTOXICATION
18-042346,18-042346-01,M,B,PUBLIC INTOXICATION
18-033702,18-033702-01,M,B,DRIVING UNDER THE INFLUENCE
18-001491,18-001491-01,M,B,PUBLIC INTOXICATION
18-022856,18-022856-01,M,B,PUBLIC INTOXICATION
18-015911,18-015911-01,M,B,TRESPASS OF REAL PROPERTY
18-021265,18-021265-01,M,B,PUBLIC INTOXICATION
18-000011,18-000011-01,M,B,PUBLIC INTOXICATION
18-008774,18-008774-01,M,B,PUBLIC INTOXICATION
18-036969,18-036969-01,M,B,PUBLIC INTOXICATION
18-033828,18-033828-01,M,B,PUBLIC INTOXICATION
18-026071,18-026071-02,M,B,ALL OTHER OFFENSES
18-012301,18-012301-01,M,B,DRIVING UNDER THE INFLUENCE
18-010177,18-010177-01,M,B,TRESPASS OF REAL PROPERTY
18-034856,18-034856-01,M,B,PUBLIC INTOXICATION
19-033219,19-033219-01,M,B,TRESPASS OF REAL PROPERTY
18-024294,18-024294-01,M,B,TRESPASS OF REAL PROPERTY
18-038977,18-038977-01,M,A,LARCENY/ THEFT OFFENSES
18-029289,18-029289-01,M,B,DRIVING UNDER THE INFLUENCE
18-030726,18-030726-01,M,B,PUBLIC INTOXICATION
18-043101,18-043101-01,M,B,PUBLIC INTOXICATION
18-036997,18-036997-02,M,B,PUBLIC INTOXICATION
18-004261,18-004261-01,M,B,DRIVING UNDER THE INFLUENCE
18-010336,18-010336-01,M,B,PUBLIC INTOXICATION
18-038047,18-038047-01,M,B,PUBLIC INTOXICATION
18-017793,18-017793-01,M,B,DRIVING UNDER THE INFLUENCE
19-006157,19-006157-01,M,B,PUBLIC INTOXICATION
18-028705,18-028705-01,F,A,BURGLARY/ BREAKING & ENTERING
18-019791,18-019791-01,F,B,DRIVING UNDER THE INFLUENCE
18-034885,18-034885-01,M,B,PUBLIC INTOXICATION
18-041896,18-041896-01,M,B,PUBLIC INTOXICATION
18-003410,18-003410-01,M,B,DRIVING UNDER THE INFLUENCE
18-042441,18-042441-01,M,B,ALL OTHER OFFENSES
18-019513,18-019513-01,M,B,PUBLIC INTOXICATION
18-040859,18-040859-01,M,A,ASSAULT OFFENSES
18-042324,18-042324-01,F,A,WEAPON LAW VIOLATIONS
18-031721,18-031721-02,M,B,PUBLIC INTOXICATION
18-039884,18-039884-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-003288,18-003288-01,M,B,DRIVING UNDER THE INFLUENCE
18-020594,18-020594-02,M,B,PUBLIC INTOXICATION
18-004046,18-004046-01,M,B,PUBLIC INTOXICATION
18-017528,18-017528-02,M,A,DRUG/ NARCOTIC VIOLATIONS
18-024695,18-024695-01,M,B,DRIVING UNDER THE INFLUENCE
18-032707,18-032707-02,M,B,ALL OTHER OFFENSES
18-007430,18-007430-01,M,A,ASSAULT OFFENSES
18-018372,18-018372-01,M,B,PUBLIC INTOXICATION
18-000976,18-000976-01,M,B,TRESPASS OF REAL PROPERTY
18-040354,18-040354-01,M,A,DRUG/ NARCOTIC VIOLATIONS
16-009069,16-009069-01,M,B,PUBLIC INTOXICATION
18-024383,18-024383-01,M,B,PUBLIC INTOXICATION
18-043168,18-043168-02,M,B,PUBLIC INTOXICATION
18-015634,18-015634-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-003767,18-003767-01,M,B,DRIVING UNDER THE INFLUENCE
18-026108,18-026108-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-036080,18-036080-01,M,B,PUBLIC INTOXICATION
20-036458,20-036458-01,N,C,APOWW (SOCIAL SERVICES REFERRAL)
18-035901,18-035901-01,M,B,DRIVING UNDER THE INFLUENCE
18-017568,18-017568-01,M,B,PUBLIC INTOXICATION
18-014305,18-014305-01,M,B,TRESPASS OF REAL PROPERTY
18-036483,18-036483-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-027142,18-027142-01,M,B,PUBLIC INTOXICATION
18-009646,18-009646-01,M,B,PUBLIC INTOXICATION
20-028484,20-028484-01,M,B,PUBLIC INTOXICATION
18-028355,18-028355-02,M,B,DRIVING UNDER THE INFLUENCE
18-011909,18-011909-01,M,B,PUBLIC INTOXICATION
18-006738,18-006738-01,F,A,LARCENY/ THEFT OFFENSES
18-024425,18-024425-01,M,A,LARCENY/ THEFT OFFENSES
18-003519,18-003519-01,M,B,PUBLIC INTOXICATION
18-037332,18-037332-02,M,B,ALL OTHER OFFENSES
19-013203,19-013203-01,M,A,DRUG/ NARCOTIC VIOLATIONS
17-032781,17-032781-01,M,B,PUBLIC INTOXICATION
18-006865,18-006865-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-017034,18-017034-01,F,A,MOTOR VEHICLE THEFT
18-015843,18-015843-02,M,A,DRUG/ NARCOTIC VIOLATIONS
18-011926,18-011926-01,F,A,MOTOR VEHICLE THEFT
18-032538,18-032538-01,M,B,DRIVING UNDER THE INFLUENCE
18-023047,18-023047-01,M,B,PUBLIC INTOXICATION
18-008071,18-008071-01,M,B,PUBLIC INTOXICATION
18-004709,18-004709-01,M,B,PUBLIC INTOXICATION
18-022481,18-022481-01,F,A,ROBBERY
18-044536,18-044536-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-045359,18-045359-01,F,A,LARCENY/ THEFT OFFENSES
18-035086,18-035086-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-021968,18-021968-01,M,B,ALL OTHER OFFENSES
20-009922,20-009922-01,N,C,APOWW (SOCIAL SERVICES REFERRAL)
18-042591,18-042591-01,F,A,LARCENY/ THEFT OFFENSES
18-016112,18-016112-01,M,B,TRESPASS OF REAL PROPERTY
18-020671,18-020671-01,M,B,TRESPASS OF REAL PROPERTY
18-003661,18-003661-01,M,B,PUBLIC INTOXICATION
17-024090,17-024090-01,F,A,ROBBERY
18-038036,18-038036-01,M,B,PUBLIC INTOXICATION
